"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac762550b4b.txt","no","DT","no",2,"determiner",NA,NA,NA,1,1
"2","tempTextFromObjectac762550b4b.txt","one","CD","one",3,"number",NA,NA,NA,2,1
"3","tempTextFromObjectac762550b4b.txt","can","MD","can",3,"modal",NA,NA,NA,3,1
"4","tempTextFromObjectac762550b4b.txt","contemplate","VB","contemplate",11,"verb",NA,NA,NA,4,1
"5","tempTextFromObjectac762550b4b.txt","current","JJ","current",7,"adjective",NA,NA,NA,5,1
"6","tempTextFromObjectac762550b4b.txt","conditions","NNS","condition",10,"noun",NA,NA,NA,6,1
"7","tempTextFromObjectac762550b4b.txt","without","IN","without",7,"preposition",NA,NA,NA,7,1
"8","tempTextFromObjectac762550b4b.txt","finding","VBG","find",7,"verb",NA,NA,NA,8,1
"9","tempTextFromObjectac762550b4b.txt","much","RB","much",4,"adverb",NA,NA,NA,9,1
"10","tempTextFromObjectac762550b4b.txt","that","WDT","that",4,"determiner",NA,NA,NA,10,1
"11","tempTextFromObjectac762550b4b.txt","is","VBZ","be",2,"verb",NA,NA,NA,11,1
"12","tempTextFromObjectac762550b4b.txt","satisfying","VBG","satisfy",10,"verb",NA,NA,NA,12,1
"13","tempTextFromObjectac762550b4b.txt","and","CC","and",3,"conjunction",NA,NA,NA,13,1
"14","tempTextFromObjectac762550b4b.txt","still","RB","still",5,"adverb",NA,NA,NA,14,1
"15","tempTextFromObjectac762550b4b.txt","more","JJR","more",4,"adjective",NA,NA,NA,15,1
"16","tempTextFromObjectac762550b4b.txt","that","WDT","that",4,"determiner",NA,NA,NA,16,1
"17","tempTextFromObjectac762550b4b.txt","is","VBZ","be",2,"verb",NA,NA,NA,17,1
"18","tempTextFromObjectac762550b4b.txt","encouraging","VBG","encourage",11,"verb",NA,NA,NA,18,1
"19","tempTextFromObjectac762550b4b.txt","our","PP$","our",3,"pronoun",NA,NA,NA,19,1
"20","tempTextFromObjectac762550b4b.txt","own","JJ","own",3,"adjective",NA,NA,NA,20,1
"21","tempTextFromObjectac762550b4b.txt","country","NN","country",7,"noun",NA,NA,NA,21,1
"22","tempTextFromObjectac762550b4b.txt","is","VBZ","be",2,"verb",NA,NA,NA,22,1
"23","tempTextFromObjectac762550b4b.txt","leading","VBG","lead",7,"verb",NA,NA,NA,23,1
"24","tempTextFromObjectac762550b4b.txt","the","DT","the",3,"determiner",NA,NA,NA,24,1
"25","tempTextFromObjectac762550b4b.txt","world","NN","world",5,"noun",NA,NA,NA,25,1
"26","tempTextFromObjectac762550b4b.txt","in","IN","in",2,"preposition",NA,NA,NA,26,1
"27","tempTextFromObjectac762550b4b.txt","the","DT","the",3,"determiner",NA,NA,NA,27,1
"28","tempTextFromObjectac762550b4b.txt","general","JJ","general",7,"adjective",NA,NA,NA,28,1
"29","tempTextFromObjectac762550b4b.txt","readjustment","NN","readjustment",12,"noun",NA,NA,NA,29,1
"30","tempTextFromObjectac762550b4b.txt","to","TO","to",2,"to",NA,NA,NA,30,1
"31","tempTextFromObjectac762550b4b.txt","the","DT","the",3,"determiner",NA,NA,NA,31,1
"32","tempTextFromObjectac762550b4b.txt","results","NNS","result",7,"noun",NA,NA,NA,32,1
"33","tempTextFromObjectac762550b4b.txt","of","IN","of",2,"preposition",NA,NA,NA,33,1
"34","tempTextFromObjectac762550b4b.txt","the","DT","the",3,"determiner",NA,NA,NA,34,1
"35","tempTextFromObjectac762550b4b.txt","great","JJ","great",5,"adjective",NA,NA,NA,35,1
"36","tempTextFromObjectac762550b4b.txt","conflict","NN","conflict",8,"noun",NA,NA,NA,36,1
"37","tempTextFromObjectac762550b4b.txt","many","JJ","many",4,"adjective",NA,NA,NA,37,1
"38","tempTextFromObjectac762550b4b.txt","of","IN","of",2,"preposition",NA,NA,NA,38,1
"39","tempTextFromObjectac762550b4b.txt","its","PP$","its",3,"pronoun",NA,NA,NA,39,1
"40","tempTextFromObjectac762550b4b.txt","burdens","NNS","burden",7,"noun",NA,NA,NA,40,1
"41","tempTextFromObjectac762550b4b.txt","will","MD","will",4,"modal",NA,NA,NA,41,1
"42","tempTextFromObjectac762550b4b.txt","bear","VB","bear",4,"verb",NA,NA,NA,42,1
"43","tempTextFromObjectac762550b4b.txt","heavily","RB","heavily",7,"adverb",NA,NA,NA,43,1
"44","tempTextFromObjectac762550b4b.txt","upon","IN","upon",4,"preposition",NA,NA,NA,44,1
"45","tempTextFromObjectac762550b4b.txt","us","PP","us",2,"pronoun",NA,NA,NA,45,1
"46","tempTextFromObjectac762550b4b.txt","for","IN","for",3,"preposition",NA,NA,NA,46,1
"47","tempTextFromObjectac762550b4b.txt","years","NNS","year",5,"noun",NA,NA,NA,47,1
"48","tempTextFromObjectac762550b4b.txt","and","CC","and",3,"conjunction",NA,NA,NA,48,1
"49","tempTextFromObjectac762550b4b.txt","the","DT","the",3,"determiner",NA,NA,NA,49,1
"50","tempTextFromObjectac762550b4b.txt","secondary","JJ","secondary",9,"adjective",NA,NA,NA,50,1
"51","tempTextFromObjectac762550b4b.txt","and","CC","and",3,"conjunction",NA,NA,NA,51,1
"52","tempTextFromObjectac762550b4b.txt","indirect","JJ","indirect",8,"adjective",NA,NA,NA,52,1
"53","tempTextFromObjectac762550b4b.txt","effects","NNS","effect",7,"noun",NA,NA,NA,53,1
"54","tempTextFromObjectac762550b4b.txt","we","PP","we",2,"pronoun",NA,NA,NA,54,1
"55","tempTextFromObjectac762550b4b.txt","must","MD","must",4,"modal",NA,NA,NA,55,1
"56","tempTextFromObjectac762550b4b.txt","expect","VB","expect",6,"verb",NA,NA,NA,56,1
"57","tempTextFromObjectac762550b4b.txt","to","TO","to",2,"to",NA,NA,NA,57,1
"58","tempTextFromObjectac762550b4b.txt","experience","VB","experience",10,"verb",NA,NA,NA,58,1
"59","tempTextFromObjectac762550b4b.txt","for","IN","for",3,"preposition",NA,NA,NA,59,1
"60","tempTextFromObjectac762550b4b.txt","some","DT","some",4,"determiner",NA,NA,NA,60,1
"61","tempTextFromObjectac762550b4b.txt","time","NN","time",4,"noun",NA,NA,NA,61,1
"62","tempTextFromObjectac762550b4b.txt","but","CC","but",3,"conjunction",NA,NA,NA,62,1
"63","tempTextFromObjectac762550b4b.txt","we","PP","we",2,"pronoun",NA,NA,NA,63,1
"64","tempTextFromObjectac762550b4b.txt","are","VBP","be",3,"verb",NA,NA,NA,64,1
"65","tempTextFromObjectac762550b4b.txt","beginning","VBG","begin",9,"verb",NA,NA,NA,65,1
"66","tempTextFromObjectac762550b4b.txt","to","TO","to",2,"to",NA,NA,NA,66,1
"67","tempTextFromObjectac762550b4b.txt","comprehend","VB","comprehend",10,"verb",NA,NA,NA,67,1
"68","tempTextFromObjectac762550b4b.txt","more","RBR","more",4,"adverb",NA,NA,NA,68,1
"69","tempTextFromObjectac762550b4b.txt","definitely","RB","definitely",10,"adverb",NA,NA,NA,69,1
"70","tempTextFromObjectac762550b4b.txt","what","WP","what",4,"pronoun",NA,NA,NA,70,1
"71","tempTextFromObjectac762550b4b.txt","course","NN","course",6,"noun",NA,NA,NA,71,1
"72","tempTextFromObjectac762550b4b.txt","should","MD","should",6,"modal",NA,NA,NA,72,1
"73","tempTextFromObjectac762550b4b.txt","be","VB","be",2,"verb",NA,NA,NA,73,1
"74","tempTextFromObjectac762550b4b.txt","pursued","VBN","pursue",7,"verb",NA,NA,NA,74,1
"75","tempTextFromObjectac762550b4b.txt","what","WDT","what",4,"determiner",NA,NA,NA,75,1
"76","tempTextFromObjectac762550b4b.txt","remedies","NNS","remedy",8,"noun",NA,NA,NA,76,1
"77","tempTextFromObjectac762550b4b.txt","ought","MD","ought",5,"modal",NA,NA,NA,77,1
"78","tempTextFromObjectac762550b4b.txt","to","TO","to",2,"to",NA,NA,NA,78,1
"79","tempTextFromObjectac762550b4b.txt","be","VB","be",2,"verb",NA,NA,NA,79,1
"80","tempTextFromObjectac762550b4b.txt","applied","VBN","apply",7,"verb",NA,NA,NA,80,1
"81","tempTextFromObjectac762550b4b.txt","what","WDT","what",4,"determiner",NA,NA,NA,81,1
"82","tempTextFromObjectac762550b4b.txt","actions","NNS","action",7,"noun",NA,NA,NA,82,1
"83","tempTextFromObjectac762550b4b.txt","should","MD","should",6,"modal",NA,NA,NA,83,1
"84","tempTextFromObjectac762550b4b.txt","be","VB","be",2,"verb",NA,NA,NA,84,1
"85","tempTextFromObjectac762550b4b.txt","taken","VBN","take",5,"verb",NA,NA,NA,85,1
"86","tempTextFromObjectac762550b4b.txt","for","IN","for",3,"preposition",NA,NA,NA,86,1
"87","tempTextFromObjectac762550b4b.txt","our","PP$","our",3,"pronoun",NA,NA,NA,87,1
"88","tempTextFromObjectac762550b4b.txt","deliverance","NN","deliverance",11,"noun",NA,NA,NA,88,1
"89","tempTextFromObjectac762550b4b.txt","and","CC","and",3,"conjunction",NA,NA,NA,89,1
"90","tempTextFromObjectac762550b4b.txt","are","VBP","be",3,"verb",NA,NA,NA,90,1
"91","tempTextFromObjectac762550b4b.txt","clearly","RB","clearly",7,"adverb",NA,NA,NA,91,1
"92","tempTextFromObjectac762550b4b.txt","manifesting","VBG","manifest",11,"verb",NA,NA,NA,92,1
"93","tempTextFromObjectac762550b4b.txt","a","DT","a",1,"determiner",NA,NA,NA,93,1
"94","tempTextFromObjectac762550b4b.txt","determined","VBN","determine",10,"verb",NA,NA,NA,94,1
"95","tempTextFromObjectac762550b4b.txt","will","NN","will",4,"noun",NA,NA,NA,95,1
"96","tempTextFromObjectac762550b4b.txt","faithfully","RB","faithfully",10,"adverb",NA,NA,NA,96,1
"97","tempTextFromObjectac762550b4b.txt","and","CC","and",3,"conjunction",NA,NA,NA,97,1
"98","tempTextFromObjectac762550b4b.txt","conscientiously","RB","conscientiously",15,"adverb",NA,NA,NA,98,1
"99","tempTextFromObjectac762550b4b.txt","to","TO","to",2,"to",NA,NA,NA,99,1
"100","tempTextFromObjectac762550b4b.txt","adopt","VB","adopt",5,"verb",NA,NA,NA,100,1
"101","tempTextFromObjectac762550b4b.txt","these","DT","these",5,"determiner",NA,NA,NA,101,1
"102","tempTextFromObjectac762550b4b.txt","methods","NNS","method",7,"noun",NA,NA,NA,102,1
"103","tempTextFromObjectac762550b4b.txt","of","IN","of",2,"preposition",NA,NA,NA,103,1
"104","tempTextFromObjectac762550b4b.txt","relief","NN","relief",6,"noun",NA,NA,NA,104,1
"105","tempTextFromObjectac762550b4b.txt","already","RB","already",7,"adverb",NA,NA,NA,105,1
"106","tempTextFromObjectac762550b4b.txt","we","PP","we",2,"pronoun",NA,NA,NA,106,1
"107","tempTextFromObjectac762550b4b.txt","have","VBP","have",4,"verb",NA,NA,NA,107,1
"108","tempTextFromObjectac762550b4b.txt","sufficiently","RB","sufficiently",12,"adverb",NA,NA,NA,108,1
"109","tempTextFromObjectac762550b4b.txt","rearranged","VBN","rearrange",10,"verb",NA,NA,NA,109,1
"110","tempTextFromObjectac762550b4b.txt","our","PP$","our",3,"pronoun",NA,NA,NA,110,1
"111","tempTextFromObjectac762550b4b.txt","domestic","JJ","domestic",8,"adjective",NA,NA,NA,111,1
"112","tempTextFromObjectac762550b4b.txt","affairs","NNS","affair",7,"noun",NA,NA,NA,112,1
"113","tempTextFromObjectac762550b4b.txt","so","IN","so",2,"preposition",NA,NA,NA,113,1
"114","tempTextFromObjectac762550b4b.txt","that","DT","that",4,"determiner",NA,NA,NA,114,1
"115","tempTextFromObjectac762550b4b.txt","confidence","NN","confidence",10,"noun",NA,NA,NA,115,1
"116","tempTextFromObjectac762550b4b.txt","has","VBZ","have",3,"verb",NA,NA,NA,116,1
"117","tempTextFromObjectac762550b4b.txt","returned","VBN","return",8,"verb",NA,NA,NA,117,1
"118","tempTextFromObjectac762550b4b.txt","business","NN","business",8,"noun",NA,NA,NA,118,1
"119","tempTextFromObjectac762550b4b.txt","has","VBZ","have",3,"verb",NA,NA,NA,119,1
"120","tempTextFromObjectac762550b4b.txt","revived","VBN","revive",7,"verb",NA,NA,NA,120,1
"121","tempTextFromObjectac762550b4b.txt","and","CC","and",3,"conjunction",NA,NA,NA,121,1
"122","tempTextFromObjectac762550b4b.txt","we","PP","we",2,"pronoun",NA,NA,NA,122,1
"123","tempTextFromObjectac762550b4b.txt","appear","VBP","appear",6,"verb",NA,NA,NA,123,1
"124","tempTextFromObjectac762550b4b.txt","to","TO","to",2,"to",NA,NA,NA,124,1
"125","tempTextFromObjectac762550b4b.txt","be","VB","be",2,"verb",NA,NA,NA,125,1
"126","tempTextFromObjectac762550b4b.txt","entering","VBG","enter",8,"verb",NA,NA,NA,126,1
"127","tempTextFromObjectac762550b4b.txt","an","DT","an",2,"determiner",NA,NA,NA,127,1
"128","tempTextFromObjectac762550b4b.txt","era","NN","era",3,"noun",NA,NA,NA,128,1
"129","tempTextFromObjectac762550b4b.txt","of","IN","of",2,"preposition",NA,NA,NA,129,1
"130","tempTextFromObjectac762550b4b.txt","prosperity","NN","prosperity",10,"noun",NA,NA,NA,130,1
"131","tempTextFromObjectac762550b4b.txt","which","WDT","which",5,"determiner",NA,NA,NA,131,1
"132","tempTextFromObjectac762550b4b.txt","is","VBZ","be",2,"verb",NA,NA,NA,132,1
"133","tempTextFromObjectac762550b4b.txt","gradually","RB","gradually",9,"adverb",NA,NA,NA,133,1
"134","tempTextFromObjectac762550b4b.txt","reaching","VBG","reach",8,"verb",NA,NA,NA,134,1
